name	completion_date	description	experiment_type	researcher	research_group	cell_tissue_type	species	instrument	experimental_details
PR518	28.11.14	8-plex TMT	Full proteome	Tyrakis	Griffiths	kidney derived	Mouse	QExactive	"For both FH wild-type, knock out and complemented cells, between 8-10 million cells were washed twice with ice-cold 1X PBS and immediately scraped into Eppendorf tubes on ice. After pelleting at 1300g for 3 min at 4 degrees, the supernatant was discarded and the pellet snap frozen in a dry-ice freeing mixture. These are the cell lines used: 1. FH wild-type cells: ððð??FLððð?? 2. FH knockout cells clone A: ððð??CL1ððð?? 3. FH knockout cells clone B: ððð??CL19ððð?? 4. FH knockout cells clone B with restored FH function: ððð??CL19pFHððð?? These cells were derived from mouse kidney by my collaboratorððð??s lab as follows: First, FL cell were derived from the mouse kidney. Then CL1 and CL19 cells were derived from FL cells, by genetically deleting exons 3 and 4 of the FH gene. Then, CL19pFH was made from CL19, by genetically restoring full length FH protein. All these cells are not commercially available like other cell lines"
PR649	23.11.15	6-plex TMT	Full proteome	Knott	Hannon	4T1	Mouse	QExactive	Compare R3 Renilla samples in different background (no AA or 100x Asparagine)
PR651	27.11.15	6-plex TMT	Full proteome	Knott	Hannon	4T1	Mouse	QExactive	Study of R3 ASNS8 under different background (no AA vs ASPAR)
PR658	17.12.15	6-plex TMT	Full proteome	Knott	Hannon	4T1	Mouse	QExactive	6plex TMT experiment study R3 ASNS 22 in different background (no AA vs ASPAR).
PR538	16.03.15	SILAC TMT	Full proteome	Holmes	Carroll	MCF7	Human		MCF7 cells were treated with 3um SB218078 or vehicle (DMSO) for up to 24 hours in full media and cells were washed with PBS and scraped. Heavy and light cells were scraped and combined washed with PBS spun down and the pellet flash frozen. Cells were all treated at time 0 and scraped at set times along the way..
PR537	04.02.15	10-plex TMT	Full proteome	Narita	Narita	IMR90	Human		"We would like to detect differential expression of newly synthesized protein during senescence time course in proteomics system. Due to multipoints and replicates, we would like to use the SILAC and isobaric tags systems. IMR90 (ER:Ras) cells are grown in light SILAC medium and induced senescence by 4-hydroxy Tamoxifen. At each senescence time point (d0, d1, d3, d6 and quiescence) the medium is changed to heavy SILAC medium and cultured 18hrs. Cells (5-6x106) are collected in four replicates. The data give us the differential expression of newly synthesized protein during senescence time course."
PR541	11.02.15	9-plex TMT	Full proteome	Knott	Hannon	4T1	Mouse		"We have identified Asparagine Synthetase as a gene unregulated in cells that are efficient at extravagating from the vasculature into the lung. Knockdown of this gene with two independent shRNAs results in these cell being highly reduced in their capacity to metastasize. Asparagine Synthetase is involved in the intracellular conversion of Asparagine. We wish to understand, at the proteome level, what happens to metastatic cells when this gene is reduced in expression.."
PR546	03.03.15	10-plex TMT	Full proteome	Tyrakis	Griffiths	CD8+ T-cells	Mouse		"CD8+ T-cells constitute part of the adaptive immune response against viral infections and tumours. During the course of antiviral and anti-tumour immunity, CD8+ cells traffic through a host of tissue microenvironments including hypoxic regions. We are thus interested in the effects of low oxygen on CD8+ T-cell function. VEGF is a hypoxic response gene that is markedly induced under conditions of low oxygen and we are interested in the induction of this gene in CD8+ T-cells"
PR551	16.03.15	9-plex TMT	Full proteome	Tyrakis	Griffiths	CD8+ T-cells	Mouse		"CD8+ T-cells constitute part of the adaptive immune response against viral infections and tumours. During the course of antiviral and anti-tumour immunity, CD8+ cells traffic through a host of tissue microenvironments including hypoxic regions. We are thus interested in the effects of low oxygen on CD8+ T-cell function, especially from a metabolic point of view. We have treated our CD8+ cells with two stereoisomers of hypoxia inducible metabolites and are interested in observing chnages in the proteome.."
PR557	24.03.15		Full proteome	Villar-Lozano	Odom	Liver	Naked Mole Rat		"The naked mole rat (NMR) is a subterraneous rodent species with a number of unique evolutionary adaptations, such as cancer resistance, tolerance to hypoxia and delayed aging. While its unusual phenotypes have sparked a lot of interest, little is known about the molecular basis of these adaptations. In recently published work in our lab, we have identified active regulatory elements (promoters and enhancers) in naked mole rat liver and associated them to genes under positive selection in this rodent. To further explore liver adaptations in the NMR, we plan to characterize the NMR liver proteome and compare it with that of other rodents, such as mouse and rat. Experimental aims: - Establish what peptide database to use for analysis of the NMR liver proteome - Use comparative proteomics to identify proteins differentially expressed in NMR liver, compared to livers from mouse and rat - Exploit NMR differentially-expressed proteins to annotate functional adaptations (e.g. metabolic) in NMR liver ."
PR596	11.03.16	9-plex TMT	Phospho-proteome	Mohammed	Riek	H9 	Human	QExactive	"The objective of this experiment is to understand and characterise the differences between different states of human embryonic stem cells. To this purpose, we have cultured a human embryonic stem cell line (named H9 NK2 tet Clone #8 as a transgene has been introduced into the parental H9 line) in different conditions which induce either the naive state, resembling the inner cell mass of the early embryo, the primed state, resembling the epiblast cell of the early embryo or in conditions driving endoderm differentiation, one of three germ layers. In vivo cells of these states are practically not accessible and as such, the datasets generated will provide a very interesting view into the Phospho-proteome of the human during early development and might also be relevant for human iPSC and regenerative medicine."
PR659	15.02.16	9-plex TMT	Full proteome	Knott	Hannon	4T1	Mouse		9plex TMT/study the effect or siRNA of ASNS protein/ each condition in triplicate.
PR678	07.04.16	9-plex TMT	Full proteome	Campbell	Ponder	MCF7	Human		x3 cell lines (control parental MCF7s and cells stably overexpressing either YBX1 or NFIB). Approx 5 million cells/pellet. x3 different clones for each TF or interest.
PR687	20.04.16	8-plex TMT	Full proteome	Lewis	Brindle	Lung tumour	Mouse		We have identified distinct metabolic subpopulations of cancer cell in a KRAS p53null model of NSCLC. These are evident as spatially separate areas using radionuclide imaging methods and are classfied as glycolytic and fatty acid synthetic respectively. We are interested in the underlying causes of these metabolic differences as they originate from the same genetic lesion therefore either represent some distinct genetic evolution or microenvironmental factor. We would like to compared the protein from these lesions to gain mechanistic insight. We recently devised a method to separate and metabolically classify tumours into approx. 1-50mg of tissue wet weight using multi-isotope deconvolution. 1. Differential protein expression between each phenotype 2. Pathway analysis suggesting functional pathway alterations in each subtype. 3. Are glycolytic and fatty acid synthesis proteins and there activators raised in each subgroup.
PR724	31.08.16	10-plex TMT	Full proteome	Papachristou	Carroll	MCF7	Human		MCF7 cells treated with 100nM tamoxifen or ethanol as control. 5 replicate pairs
PR711	28.07.16	9-plex TMT	Full proteome	Delas Vives	Hannon	AML	Mouse		shRNA clones
PR727	28.07.16	10-plex TMT	Organelle proteome	Hoare	Narita	IMR90	Human		"Single cell line carrying ER:Ras (expresses oncogenic RAS when treated with tamoxifen) and TRE-N1ICD (expresses active NOTCH1 when treated with doxycycline), in 5 different conditions: 1) Grow; 2) D3 RAS; 3) D6 RAS; 4) D3 N1ICD; 5) RAS/N1ICD Before fractionation of chromatin and pelleting."
PR732	04.08.16	9-plex TMT	Full proteome	Delas Vives	Hannon	AML	Mouse		In this experiment we want to investigate the global changes in the proteome upon knockdown of different long noncoding RNAs in our model of acute myeloid leukemia (AML). We will be looking at four lncRNA knockdowns and Myc knockdown. This AML model is highly dependent on Myc and we have evidence that some of the lncRNAs act though this gene. The negative control is knockdown of Renilla luciferase (Ren). We have two validated short hairpin RNAs (shRNA or hp) per lncRNA and two clonal cell lines established from each shRNA (only one per shRNA will be submitted).
PR743	05.09.16	9-plex TMT	Full proteome	Delas Vives	Hannon	AML	Mouse		TMT - 9Plex In this experiment we want to investigate the global changes in the proteome upon knockdown of different long noncoding RNAs in our model of acute myeloid leukemia (AML). We will be looking at four lncRNA knockdowns and Myc knockdown. This AML model is highly dependent on Myc and we have evidence that some of the lncRNAs act though this gene. The negative control is knockdown of Renilla luciferase (Ren). We have two validated short hairpin RNAs (shRNA or hp) per lncRNA and two clonal cell lines established from each shRNA (only one per shRNA will be submitted).
PR745	01.10.16	9-plex TMT	Full proteome	Delas Vives	Hannon	AML	Mouse		TMT-9plex In this experiment we want to investigate the global changes in the proteome upon knockdown of different long noncoding RNAs in our model of acute myeloid leukemia (AML). We will be looking at four lncRNA knockdowns and Myc knockdown. This AML model is highly dependent on Myc and we have evidence that some of the lncRNAs act though this gene. The negative control is knockdown of Renilla luciferase (Ren). We have two validated short hairpin RNAs (shRNA or hp) per lncRNA and two clonal cell lines established from each shRNA (only one per shRNA will be submitted).
PR747	22.11.16	10-plex TMT	Organelle proteome	Hoare	Narita	IMR90	Human		"Single cell line carrying ER:Ras (expresses oncogenic RAS when treated with tamoxifen) and TRE-N1ICD (expresses active NOTCH1 when treated with doxycycline), in 5 different conditions: 1) Grow; 2) D3 RAS; 3) D6 RAS; 4) D3 N1ICD; 5) RAS/N1ICD Before fractionation of chromatin and pelleting."
PR756	22.11.16	10-plex TMT	Organelle proteome	Hoare	Narita	IMR90	Human		"Single cell line carrying ER:Ras (expresses oncogenic RAS when treated with tamoxifen) and TRE-N1ICD (expresses active NOTCH1 when treated with doxycycline), in 5 different conditions: 1) Grow; 2) D3 RAS; 3) D6 RAS; 4) D3 N1ICD; 5) RAS/N1ICD Before fractionation of chromatin and pelleting."
